"노선_ID","정류장_ID","링크_구간거리(m)","정류장_순서"
"241409005","227000606","169.000","4"
"241409005","227000605","180.000","29"
"241409005","227000604","347.000","3"
"241409005","227000603","0.000","1"
"241409005","227000602","475.000","30"
"241409005","227000111","331.000","14"
"241409005","227000110","790.000","19"
"241409005","124000354","540.000","17"
"241409005","124000138","1079.000","16"
"241409005","124000087","740.000","15"
"241409005","123000145","1281.000","18"
"241409004","227000709","177.000","15"
"241409004","227000600","1091.000","11"
"241409004","227000562","362.000","10"
"241409004","227000561","1234.000","18"
"241409004","227000560","379.000","19"
"241409004","227000559","305.000","9"
"241409004","227000558","313.000","20"
"241409004","227000557","203.000","8"
"241409004","227000556","242.000","7"
"241409004","227000555","214.000","21"
"241409004","227000554","232.000","22"
"241409004","227000553","313.000","6"
"241409004","227000552","352.000","23"
"241409004","227000551","211.000","5"
"241409004","227000550","166.000","24"
"241409004","227000549","259.000","4"
"241409004","227000548","287.000","25"
"241409004","227000547","681.000","3"
"241409004","227000546","0.000","1"
"241409004","227000518","404.000","26"
"241409004","227000070","1030.000","14"
"241409004","227000017","1080.000","16"
"241409004","227000016","160.000","17"
"241409004","227000008","120.000","12"
"241409004","227000007","180.000","13"
"241409004","124000356","114.000","2"
"241408002","227000709","354.000","3"
"241408002","227000684","320.000","35"
"241408002","227000683","723.000","46"
"241408002","227000682","400.000","40"
"241408002","227000656","450.000","55"
"241408002","227000630","321.000","70"
"241408002","227000600","260.000","81"
"241408002","227000577","414.000","19"
"241408002","227000576","378.000","18"
"241408002","227000575","348.000","17"
"241408002","227000522","334.000","69"
"241408002","227000521","308.000","68"
"241408002","227000514","310.000","64"
"241408002","227000513","279.000","67"
"241408002","227000506","499.000","22"
"241408002","227000485","460.000","29"
"241408002","227000484","340.000","56"
"241408002","227000354","334.000","61"
"241408002","227000303","1142.000","45"
"241408002","227000294","204.000","44"
"241408002","227000293","187.000","43"
"241408002","227000291","460.000","30"
"241408002","227000284","510.000","54"
"241408002","227000283","240.000","32"
"241408002","227000282","410.000","31"
"241408002","227000279","260.000","39"
"241408002","227000278","420.000","47"
"241408002","227000274","430.000","21"
"241408002","227000273","497.000","65"
"241408002","227000271","260.000","36"
"241408002","227000270","400.000","50"
"241408002","227000267","141.000","62"
"241408002","227000266","492.000","24"
"241408002","227000227","480.000","73"
"241408002","227000226","270.000","14"
"241408002","227000225","280.000","75"
"241408002","227000224","353.000","12"
"241408002","227000223","320.000","52"
"241408002","227000222","610.000","33"
"241408002","227000220","260.000","26"
"241408002","227000219","336.000","49"
"241408002","227000214","240.000","74"
"241408002","227000213","260.000","13"
"241408002","227000212","520.000","66"
"241408002","227000211","288.000","20"
"241408002","227000208","150.000","71"
"241408002","227000207","350.000","16"
"241408002","227000206","290.000","72"
"241408002","227000205","370.000","15"
"241408002","227000204","310.000","53"
"241408002","227000201","344.000","23"
"241408002","227000199","400.000","28"
"241408002","227000198","350.000","48"
"241408002","227000197","416.000","38"
"241408002","227000196","470.000","57"
"241408002","227000194","460.000","51"
"241408002","227000190","260.000","37"
"241408002","227000172","230.000","34"
"241408002","227000161","157.000","2"
"241408002","227000160","250.000","80"
"241408002","227000125","387.000","76"
"241408002","227000124","170.000","77"
"241408002","227000123","330.000","78"
"241408002","227000122","380.000","79"
"241408002","227000099","220.000","7"
"241408002","227000098","410.000","8"
"241408002","227000097","210.000","9"
"241408002","227000096","260.000","10"
"241408002","227000095","130.000","11"
"241408002","227000086","0.000","1"
"241408002","227000074","602.000","41"
"241408002","227000073","385.000","85"
"241408002","227000070","1030.000","84"
"241408002","227000069","359.000","42"
"241408002","227000032","262.000","63"
"241408002","227000017","1080.000","4"
"241408002","227000016","160.000","5"
"241408002","227000015","360.000","6"
"241408002","227000008","120.000","82"
"241408002","227000007","180.000","83"
"241408002","227000006","310.000","27"
"241408002","227000005","255.000","25"
"241408002","124000440","400.000","58"
"241408002","124000438","270.000","59"
"241408002","124000437","230.000","60"
"241352012","277102090","450.000","13"
"241352012","277102089","373.000","12"
"241352012","218001361","181.000","2"
"241352012","218001358","350.000","6"
"241352012","218001357","440.000","19"
"241352012","218001356","420.000","7"
"241352012","218001355","1110.000","18"
"241352012","218001258","290.000","4"
"241352012","218001147","360.000","21"
"241352012","218000420","330.000","20"
"241352012","218000419","350.000","5"
"241352012","218000404","360.000","3"
"241352012","218000403","340.000","22"
"241352012","218000356","554.000","23"
"241352012","218000356","0.000","1"
"241352012","111000220","473.000","14"
"241352012","111000007","793.000","11"
"241352012","111000006","739.000","15"
"241352012","111000005","503.000","10"
"241352012","111000004","391.000","16"
"241352012","111000003","587.000","9"
"241352012","111000002","689.000","17"
"241352012","111000001","1034.000","8"
"241352009","277102090","450.000","36"
"241352009","277102089","373.000","35"
"241352009","218001330","312.000","57"
"241352009","218001329","300.000","15"
"241352009","218001267","356.000","17"
